strike_time,amount,price
2017-08-14T09:13:32Z,0.1198,27880.0
2017-08-14T09:13:32Z,0.0008,27880.0
2017-08-14T09:13:32Z,0.0014,27890.0
2017-08-14T09:13:30Z,0.215,27899.0
2017-08-14T09:13:10Z,0.0001,27890.0
2017-08-14T09:13:10Z,0.0999,27890.01
2017-08-14T09:13:09Z,0.0001,27890.01
2017-08-14T09:13:00Z,0.001,28044.91
2017-08-14T09:12:57Z,0.3081,27890.0
2017-08-14T09:12:57Z,0.0009,27950.0
2017-08-14T09:12:57Z,0.001,28000.0
2017-08-14T09:12:50Z,0.0001,27950.0
2017-08-14T09:12:45Z,0.0489,27890.0
2017-08-14T09:12:45Z,0.0011,27890.12
2017-08-14T09:12:42Z,0.0178,28050.0
2017-08-14T09:12:19Z,0.0001,27890.0
2017-08-14T09:12:18Z,0.105,28000.0
2017-08-14T09:12:08Z,0.0013,28000.0
2017-08-14T09:12:08Z,0.0937,27999.0
2017-08-14T09:11:57Z,0.0001,27880.12
2017-08-14T09:11:52Z,0.0307,28000.0
2017-08-14T09:11:52Z,0.0052,27950.0
2017-08-14T09:11:52Z,0.074,27900.0
2017-08-14T09:11:52Z,0.0001,27880.38
2017-08-14T09:11:51Z,0.095,27900.0
2017-08-14T09:11:42Z,0.0718,27900.0
2017-08-14T09:11:42Z,0.0791,28000.0
2017-08-14T09:11:41Z,0.25,28000.0
2017-08-14T09:11:40Z,0.384,28000.0
2017-08-14T09:11:39Z,0.1057,28000.0
2017-08-14T09:11:37Z,3.0,28000.0
2017-08-14T09:11:36Z,0.444,27994.0
2017-08-14T09:11:36Z,0.101,27990.93
2017-08-14T09:11:36Z,0.5,27990.9
2017-08-14T09:11:36Z,0.1362,27990.0
2017-08-14T09:11:33Z,0.0003,27880.38
2017-08-14T09:11:33Z,1.2197,27900.0
strike_time,amount,price
2017-08-14T09:19:41Z,0.161,28000.0
2017-08-14T09:19:41Z,0.0045,28100.0
2017-08-14T09:19:37Z,0.0369,28100.0
2017-08-14T09:19:36Z,0.0001,28000.0
2017-08-14T09:19:33Z,0.0045,28000.0
2017-08-14T09:19:25Z,0.0045,28100.0
2017-08-14T09:18:47Z,0.4129,27901.17
2017-08-14T09:18:47Z,0.1656,27905.14
2017-08-14T09:18:27Z,0.0001,27901.12
2017-08-14T09:18:24Z,0.2,28060.0
2017-08-14T09:18:16Z,0.1,28060.0
2017-08-14T09:18:07Z,0.0533,27901.0
2017-08-14T09:18:07Z,0.0267,28036.74
2017-08-14T09:18:00Z,0.821,28100.0
